geoid10,downMean,upMean,downStdDev,upStdDev,tests,income,lon,lat
060530105012029,0.9775447343720002,0.59961934414,0.5936637009999999,0.3800736408,8,88773,36.781321,-121.59661
060530105041014,21.4643060975,11.361746874999998,10.0855173235,3.5712631416250002,8,46193,36.7153796,-121.6588414
060530106061057,8.12450690375,6.099971875,3.43034007875,1.6123108136750002,8,75292,36.7269673,-121.5856603
060530106061100,10.1238697135,8.523873437499999,4.3155169785,2.5628418996125,8,75292,36.7047549,-121.5527705
060530106061113,7.601871602625001,6.21720095275,3.7366402084124997,1.7370017241625,8,75292,36.7046927,-121.5899645
060530106061125,4.487957689475,5.003778013350001,2.10128803396875,1.5496789432,8,75292,36.6681026,-121.4672606
060530106061153,5.328954242200001,5.0436234375,2.2978148484750003,1.4227138240375001,8,75292,36.6463729,-121.5529802
060530106061162,4.85475078085,8.33754375,2.221585654825,2.702271711925,8,75292,36.6168088,-121.5492752
060530106061250,27.930433807500002,9.685539062499998,14.4203675425,3.8796640201250003,8,75292,36.6672514,-121.7482741
060530106061260,5.3070904778750005,7.0030625,2.1634564510625003,2.101400660675,8,75292,36.624294,-121.6606096
060530106061273,6.048261243750001,5.6838109375,2.7536299042624997,1.1235572101124998,8,75292,36.6123465,-121.5761335
060530106062024,7.975948014362501,9.239896875000001,3.5117202910125,2.9764170520124997,8,55250,36.6756097,-121.5915633
060530106062037,3.0660142562125,4.87069147725,1.33848005943,1.258854180875,8,55250,36.6743475,-121.5990255
060530107011001,2.0551771041142857,4.644752071857143,1.0235909455142858,1.1401895464999998,8,103333,36.5899612,-121.633964
060530107021009,16.761293362750003,10.21560625,7.4551971749999995,2.90010917175,8,98393,36.537743,-121.5688617
060530107021021,1.7437200521266665,0.5168995289666667,0.8518735032716668,0.3916010232166667,8,98393,36.5197686,-121.7005701
